com.samsung.shealth.activity.day_summary,6100041,2
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,target,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,-1,-1,2019-11-20 14:01:33.096,0.0,0,0,0,1571875200000,,yFuc3cHWzI,0,0,com.sec.android.app.shealth,2019-11-20 14:01:33.096,0,bbae8fe1-fd07-4f6e-bb49-eb94d25b35e9,bbae8fe1-fd07-4f6e-bb49-eb94d25b35e9.extra_data.json,0.0,
0,60,54060000,2019-11-20 14:01:32.861,162.04843,10800,186,106053,1574208000000,,yFuc3cHWzI,116853,1,com.sec.android.app.shealth,2019-11-20 20:03:16.137,26010,a80d9ea3-3f42-4206-a2cc-34bc5f68815e,a80d9ea3-3f42-4206-a2cc-34bc5f68815e.extra_data.json,8.520502,
0,-1,-1,2019-11-20 14:01:33.865,0.0,0,0,0,1572393600000,,yFuc3cHWzI,0,0,com.sec.android.app.shealth,2019-11-20 14:01:33.865,0,be83758c-84b5-4331-98a8-f798432d6ddd,be83758c-84b5-4331-98a8-f798432d6ddd.extra_data.json,0.0,
0,-1,-1,2019-11-20 14:01:33.762,0.0,0,0,0,1572307200000,,yFuc3cHWzI,0,0,com.sec.android.app.shealth,2019-11-20 14:01:33.762,0,dec5ee88-bbc4-4847-93c5-db31b2551443,dec5ee88-bbc4-4847-93c5-db31b2551443.extra_data.json,0.0,
0,-1,-1,2019-11-20 14:01:34.510,0.0,0,0,0,1572912000000,,yFuc3cHWzI,0,0,com.sec.android.app.shealth,2019-11-20 14:01:34.510,0,1aa700d9-7e71-488c-bfbe-0f018415f475,1aa700d9-7e71-488c-bfbe-0f018415f475.extra_data.json,0.0,
0,-1,-1,2019-11-20 14:01:33.255,0.0,0,0,0,1571961600000,,yFuc3cHWzI,0,0,com.sec.android.app.shealth,2019-11-20 14:01:33.255,0,e51d1a75-f74f-4cf9-8937-41b3621a0b5d,e51d1a75-f74f-4cf9-8937-41b3621a0b5d.extra_data.json,0.0,
0,-1,-1,2019-11-20 14:01:34.365,0.0,0,0,0,1572825600000,,yFuc3cHWzI,0,0,com.sec.android.app.shealth,2019-11-20 14:01:34.365,0,4a92b1b6-388c-4066-9e31-62cff3dac6a7,4a92b1b6-388c-4066-9e31-62cff3dac6a7.extra_data.json,0.0,
0,-1,-1,2019-11-20 14:01:33.946,0.0,0,0,0,1572480000000,,yFuc3cHWzI,0,0,com.sec.android.app.shealth,2019-11-20 14:01:33.946,0,13f3e19f-5e88-40ef-9c57-13a5ca3550f6,13f3e19f-5e88-40ef-9c57-13a5ca3550f6.extra_data.json,0.0,
0,-1,-1,2019-11-20 14:01:35.445,0.0,0,0,0,1573516800000,,yFuc3cHWzI,0,0,com.sec.android.app.shealth,2019-11-20 14:01:35.445,0,3ee7ce18-be27-4263-bedc-7fe0029e21ec,3ee7ce18-be27-4263-bedc-7fe0029e21ec.extra_data.json,0.0,
0,-1,-1,2019-11-20 14:01:35.256,0.0,0,0,0,1573344000000,,yFuc3cHWzI,0,0,com.sec.android.app.shealth,2019-11-20 14:01:35.256,0,b3dff4f5-c0fb-4d8a-aab4-58d7505523b9,b3dff4f5-c0fb-4d8a-aab4-58d7505523b9.extra_data.json,0.0,
