com.samsung.shealth.insight.hourly_accumulated_active_time,6100041,1
active_time_11,active_time_10,active_time_13,active_time_12,active_time_15,active_time_14,active_time_17,active_time_16,active_time_8,active_time_7,active_time_6,active_time_5,active_time_4,active_time_3,day_time,active_time_2,active_time_1,deviceuuid,update_time,datauuid,active_time_22,active_time_21,active_time_24,active_time_23,create_time,active_time_20,pkg_name,active_time_9,active_time_19,active_time_18
,,,,,,1283484,777926,,,,,,,1577059200000,,,yFuc3cHWzI,2019-12-24 01:28:52.855,57700a8a-6d24-4eed-aba0-a788af050330,1418481,1353518,1623115,1494518,2019-12-24 01:28:52.855,1353518,com.sec.android.app.shealth,,1353518,1353518,
,,,,5336,,91908,48691,,,,,,,1574553600000,,,yFuc3cHWzI,2019-11-25 07:00:59.638,eefa0edb-4612-4310-afaa-361919f48103,250647,250647,256249,256249,2019-11-25 07:00:59.638,250647,com.sec.android.app.shealth,,179148,179148,
2309865,1926060,4271826,3276981,4285699,4285699,5515712,4396954,,,,,,,1574467200000,,,yFuc3cHWzI,2019-11-24 01:20:04.288,299d7e46-1848-4bd0-80f5-ed8526352b74,5936201,5936201,5936201,5936201,2019-11-24 01:20:04.288,5749739,com.sec.android.app.shealth,1926060,5743736,5743736,
22143,,31481,22143,257030,31481,450163,450163,,,,,,,1577664000000,,,yFuc3cHWzI,2019-12-31 03:46:03.382,aa92e5d9-a417-408e-b5b7-e9264a084c64,1540610,1421217,1927717,1618248,2019-12-31 03:46:03.382,1398539,com.sec.android.app.shealth,,1367857,813273,
1141234,1002899,1249151,1141234,1651881,1402825,1651881,1651881,244205,,,,,,1579219200000,,,yFuc3cHWzI,2020-01-18 03:58:59.588,9d515523-54b8-44ca-b560-d5fe900c1ed2,2735478,2735478,2735478,2735478,2020-01-18 03:58:59.588,2735478,com.sec.android.app.shealth,906184,2145108,1869715,
1314172,1314172,1448578,1314172,1688563,1658148,2518645,1704970,652799,,,,,,1578960000000,,,yFuc3cHWzI,2020-01-15 01:53:00.156,9ad0195f-89cd-48be-b2f9-0bcc380ccb4a,3766016,3766016,3766016,3766016,2020-01-15 01:53:00.156,3766016,com.sec.android.app.shealth,1314172,2980297,2662050,
26146,26146,89511,26146,97515,97515,97515,97515,26146,26146,26146,26146,26146,26146,1578096000000,26146,26146,yFuc3cHWzI,2020-01-05 01:41:06.714,2442e4f6-fbc0-477a-989d-acb420b14439,1415732,1273796,1423069,1423069,2020-01-05 01:41:06.714,925506,com.sec.android.app.shealth,26146,421644,97515,
786395,786395,1015382,786395,1763943,1739666,1774615,1763943,402191,,,,,,1579132800000,,,yFuc3cHWzI,2020-01-17 01:54:04.354,4928b5fa-d68c-48dd-9fd6-0ea8788a3f72,2918282,2918282,2918282,2918282,2020-01-17 01:54:04.354,2894937,com.sec.android.app.shealth,758381,1897742,1829442,
1969750,1237241,2351372,2017238,2834144,2834144,4440100,4172183,,,,,,,1576540800000,,,yFuc3cHWzI,2019-12-18 02:12:56.679,33884176-d36b-454e-974a-169680e5d92d,5418361,5404755,5432501,5432501,2019-12-18 02:12:56.679,5404755,com.sec.android.app.shealth,,4989201,4440100,
152066,152066,193018,193018,193018,193018,215962,193018,152066,152066,152066,152066,152066,152066,1577836800000,152066,145396,yFuc3cHWzI,2020-01-02 01:34:39.248,0ce4be4f-cc77-40c5-95f5-6c4e6f3db8c6,281592,281592,300935,300935,2020-01-02 01:34:39.248,281592,com.sec.android.app.shealth,152066,270253,270253,
2379243,2359900,2608816,2451672,2889961,2616820,4613074,2889961,1939110,,,,,,1575417600000,,,yFuc3cHWzI,2019-12-05 04:01:00.725,1b7c0d60-f2ed-4a8c-956d-999ae2b13284,4658163,4642422,4658163,4658163,2019-12-05 04:01:00.725,4621078,com.sec.android.app.shealth,2224559,4613074,4613074,
