com.samsung.shealth.rewards,6100041,4
is_visible,create_time,time_offset,program_id,end_time,device_type,title,exercise_type,exercise_session_id,deviceuuid,start_time,pkg_name,update_time,number_of_streak,datauuid,extra_data,controller_id,source_pkg_name
-10000,2019-11-20 14:01:37.293,,,1970-01-01 00:00:00.000,,LAST_SLEEP_CHECKING_TIME,,,yFuc3cHWzI,,com.sec.android.app.shealth,2019-11-20 14:01:37.293,,3745f72f-1c3b-4bc0-a1cb-1ded241bbf98,,Sleep.Goal.Temp,,
1,2019-11-30 15:55:25.724,UTC+0200,,2019-11-21 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-11-21 23:00:00.000,com.sec.android.app.shealth,2019-11-30 15:55:26.632,,e5a87d73-2fd4-4445-abe2-35b472123f36,"{""mTarget"":6000,""mValue"":8420}",tracker.pedometer,,
1,2019-11-30 15:55:25.739,UTC+0200,,2019-11-22 23:00:00.000,10009,tracker_pedometer_reward_most_walking_day,,,yFuc3cHWzI,2019-11-22 23:00:00.000,com.sec.android.app.shealth,2019-11-30 15:55:25.739,,9507e2f8-8b55-4942-beea-a4e9ae1275e7,"{""mTarget"":-1,""mValue"":10490}",tracker.pedometer,,
0,2019-11-22 18:55:00.581,UTC+0200,,2019-11-22 18:55:00.550,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-11-22 18:55:00.550,com.sec.android.app.shealth,2019-11-23 11:44:22.902,,2d02cfbd-c883-4a5c-bfa9-5115da86bf05,"{""mIsCompleted"":false,""mValue"":75,""mValue2"":60}",goal.activity,,
0,2019-11-23 11:44:22.907,UTC+0200,,2019-11-23 11:44:22.879,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-11-23 11:44:22.879,com.sec.android.app.shealth,2019-11-25 14:44:00.725,,a9442a49-6890-4d4f-82d5-b8ceaefaa31c,"{""mIsCompleted"":false,""mValue"":98,""mValue2"":60}",goal.activity,,
1,2019-11-30 15:55:25.730,UTC+0200,,2019-11-24 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-11-24 23:00:00.000,com.sec.android.app.shealth,2019-11-30 23:00:01.875,,3665da5d-1ab0-4cd7-ad35-0ebf7c35bcb8,"{""mTarget"":6000,""mValue"":10106}",tracker.pedometer,,
1,2019-11-30 15:55:26.027,UTC+0200,,2019-11-25 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-11-25 23:00:00.000,com.sec.android.app.shealth,2019-12-01 23:00:02.851,,fa2c5ff5-c444-42e6-b051-1cf313ddca67,"{""mTarget"":6000,""mValue"":7459}",tracker.pedometer,,
1,2019-11-30 15:55:26.019,UTC+0200,,2019-11-21 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-11-21 23:00:00.000,com.sec.android.app.shealth,2019-11-30 15:55:27.615,,f1623f5f-934a-4f69-a177-2808794c76bc,"{""mTarget"":6000,""mValue"":8420}",tracker.pedometer,,
1,2019-11-30 15:55:25.728,UTC+0200,,2019-11-22 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-11-22 23:00:00.000,com.sec.android.app.shealth,2019-11-30 15:55:26.623,,5d52e572-df2f-4e06-a28b-2991cba2a103,"{""mTarget"":6000,""mValue"":10490}",tracker.pedometer,,
0,2019-11-23 15:40:29.909,UTC+0200,,2019-11-23 15:40:29.866,,goal_activity_reward_most_active_day,,,yFuc3cHWzI,2019-11-23 19:58:15.560,com.sec.android.app.shealth,2020-09-14 15:56:00.502,,cff21ecb-03e9-4be7-94df-5e0a306eebc4,"{""mIsCompleted"":false,""mValue"":98,""mValue2"":0}",goal.activity,,
