com.samsung.shealth.step_daily_trend,6100041,6
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2019-11-30 15:55:25.610,6867.6777,8420,0,1574380800000,6.9444447,yFuc3cHWzI,com.sec.android.app.shealth,2019-11-30 15:55:25.610,82366f2e-e125-4c67-af66-4368309ea31c.binning_data.json,82366f2e-e125-4c67-af66-4368309ea31c,316.2991,com.sec.android.app.shealth,
2019-11-30 15:55:25.603,162.04842,186,0,1574208000000,2.3879988,yFuc3cHWzI,com.sec.android.app.shealth,2019-11-30 15:55:25.603,6099b0fc-c053-43d4-807a-0132fa154978.binning_data.json,6099b0fc-c053-43d4-807a-0132fa154978,8.520502,com.sec.android.app.shealth,
2019-11-30 15:55:25.628,5542.3325,6753,0,1574899200000,6.9444447,yFuc3cHWzI,com.sec.android.app.shealth,2019-11-30 15:55:25.628,20f1e753-b897-47d6-a791-515560eaa17f.binning_data.json,20f1e753-b897-47d6-a791-515560eaa17f,256.6412,com.sec.android.app.shealth,
2019-11-30 15:55:25.613,8437.511,10490,0,1574467200000,3.608783,yFuc3cHWzI,com.sec.android.app.shealth,2019-11-30 15:55:25.613,5d23eab9-e69e-4875-bd68-7cb12144f0ff.binning_data.json,5d23eab9-e69e-4875-bd68-7cb12144f0ff,389.8344,com.sec.android.app.shealth,
2019-11-30 15:55:25.607,5022.703,5928,0,1574294400000,6.589802,yFuc3cHWzI,com.sec.android.app.shealth,2019-11-30 15:55:25.607,d5710612-708e-4692-9892-bf775be4a1ce.binning_data.json,d5710612-708e-4692-9892-bf775be4a1ce,242.60503,com.sec.android.app.shealth,
2019-11-30 15:55:25.615,374.56305,409,0,1574553600000,2.978018,yFuc3cHWzI,com.sec.android.app.shealth,2019-11-30 15:55:25.615,420cf7dd-cc7b-449f-918a-638f03f183cd.binning_data.json,420cf7dd-cc7b-449f-918a-638f03f183cd,19.455389,com.sec.android.app.shealth,
2019-11-30 15:55:25.633,162.04842,186,-2,1574208000000,1.7698815,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-30 15:55:25.633,133fc6fa-0e39-4d55-86e0-40e781713bf8.binning_data.json,133fc6fa-0e39-4d55-86e0-40e781713bf8,8.520502,com.sec.android.app.shealth,
2019-11-30 15:55:25.644,374.56305,409,-2,1574553600000,2.0279298,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-30 15:55:25.644,526a5159-b3d2-4d48-8c68-1e7c3d57d693.binning_data.json,526a5159-b3d2-4d48-8c68-1e7c3d57d693,19.455389,com.sec.android.app.shealth,
2019-11-30 15:55:25.621,5974.1685,7459,0,1574726400000,6.9444447,yFuc3cHWzI,com.sec.android.app.shealth,2019-11-30 15:55:25.621,5afb3a2a-6951-4ef5-93a0-ef6d82d563a7.binning_data.json,5afb3a2a-6951-4ef5-93a0-ef6d82d563a7,274.22647,com.sec.android.app.shealth,
2019-11-30 15:55:25.625,4448.07,5576,0,1574812800000,3.6575534,yFuc3cHWzI,com.sec.android.app.shealth,2019-11-30 15:55:25.625,45649898-1c39-472d-b37d-0265ad20c20b.binning_data.json,45649898-1c39-472d-b37d-0265ad20c20b,203.52815,com.sec.android.app.shealth,
2019-11-30 15:55:25.642,8437.511,10490,-2,1574467200000,1.6268835,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-30 15:55:25.642,6c5db16e-59a5-4a3a-8579-b95d51bce8e5.binning_data.json,6c5db16e-59a5-4a3a-8579-b95d51bce8e5,389.8344,com.sec.android.app.shealth,
2019-11-30 15:55:25.661,1282.1813,1481,-2,1575072000000,1.7153478,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-30 20:14:02.586,a92b50fe-d7d6-4b2a-b755-66ca4fc1dca3.binning_data.json,a92b50fe-d7d6-4b2a-b755-66ca4fc1dca3,65.12138,com.sec.android.app.shealth,
2019-11-30 15:55:25.630,5462.854,6127,0,1574985600000,6.9444447,yFuc3cHWzI,com.sec.android.app.shealth,2019-11-30 15:55:25.630,38b004df-09c3-4fbb-a293-72086a332c95.binning_data.json,38b004df-09c3-4fbb-a293-72086a332c95,278.82733,com.sec.android.app.shealth,
2019-11-30 15:55:25.650,5974.1685,7459,-2,1574726400000,1.5961237,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-30 15:55:25.650,b036c2b2-734c-4577-a91a-51d3f5d59f5d.binning_data.json,b036c2b2-734c-4577-a91a-51d3f5d59f5d,274.22647,com.sec.android.app.shealth,
