com.samsung.shealth.tracker.pedometer_step_count,6100041,2
duration,run_step,version_code,walk_step,com.samsung.health.step_count.create_time,com.samsung.health.step_count.distance,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.custom,com.samsung.health.step_count.count,com.samsung.health.step_count.end_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.start_time,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.update_time,com.samsung.health.step_count.datauuid,com.samsung.health.step_count.calorie,com.samsung.health.step_count.sample_position_type
4723,0,4,9,1629186618132,7.21875,UTC+0300,,9,1629186660000,1.5281296,yFuc3cHWzI,1629186600000,com.sec.android.app.shealth,1629186618132,d217fa7a-aca6-4d49-8d12-384506894274,0.31066895,,
14627,0,4,26,1629187501516,19.879883,UTC+0300,,26,1629187560000,1.3590951,yFuc3cHWzI,1629187500000,com.sec.android.app.shealth,1629187518464,097ac410-c056-459c-ae67-9f0e7841c211,0.92337036,,
10517,0,4,17,1629187441868,15.030762,UTC+0300,,17,1629187500000,1.4291185,yFuc3cHWzI,1629187440000,com.sec.android.app.shealth,1629187499884,3ed4fed0-1a8f-4d49-a1d5-e021ace72767,0.8546448,,
5817,0,4,12,1629190162006,9.189941,UTC+0300,,12,1629190200000,1.5797268,yFuc3cHWzI,1629190140000,com.sec.android.app.shealth,1629190162006,e5e97e4a-a2b6-4778-92c1-3b24fd6e7aba,0.42053223,,
2084,0,4,4,1629193500913,3.084961,UTC+0300,,4,1629193560000,1.4796277,yFuc3cHWzI,1629193500000,com.sec.android.app.shealth,1629193501535,3c4ffa55-7748-4a67-8bb1-e9f01794dbdf,0.13980103,,
3607,0,4,12,1629196971601,9.712891,UTC+0300,,12,1629196980000,2.6927142,yFuc3cHWzI,1629196920000,com.sec.android.app.shealth,1629196971601,bec548e6-92e7-4a05-82b5-00c1e772ba21,0.40621948,,
12548,15,4,18,1629205089178,31.453613,UTC+0300,,33,1629205140000,2.5066187,yFuc3cHWzI,1629205080000,com.sec.android.app.shealth,1629205098719,1b5eea01-b325-4323-832b-6907666f4858,1.8674316,,
8923,0,4,22,1629197068214,18.829102,UTC+0300,,22,1629197100000,2.1099486,yFuc3cHWzI,1629197040000,com.sec.android.app.shealth,1629197075807,ece653c2-8e35-4fc7-b84e-5c532fb1efef,0.7810669,,
2820,0,4,6,1629206863628,4.911621,UTC+0300,,6,1629206880000,1.7412916,yFuc3cHWzI,1629206820000,com.sec.android.app.shealth,1629206863628,1fafc31f-65eb-48cd-a34f-0372028d37df,0.20324707,,
21439,0,4,45,1629205260621,35.609375,UTC+0300,,45,1629205320000,1.6609467,yFuc3cHWzI,1629205260000,com.sec.android.app.shealth,1629205290778,f802db9d-bf7c-4613-995f-e3beebd0a04b,1.56427,,
16033,9,4,33,1629205176255,36.49951,UTC+0300,,42,1629205200000,2.2764742,yFuc3cHWzI,1629205140000,com.sec.android.app.shealth,1629205198617,42dbcfac-d4b2-4ff6-b8a4-b6d92dce7ea5,1.9132385,,
5070,0,4,7,1629197033672,5.010742,UTC+0300,,7,1629197040000,0.9882282,yFuc3cHWzI,1629196980000,com.sec.android.app.shealth,1629197033759,5a8b058e-0961-4452-9f10-ce653f176eb2,0.25897217,,
